company,assets_billions
Bank of America,2187
Goldman Sachs,862
Morgan Stanley,811
U.S. Bancorp,445
PNC Bank N.A.,366
Capital One,357
TD Bank N.A.,338
The Bank of New York Mellon,333
HSBC Bank USA,304
State Street Corporation,242
Charles Schwab Corporation,223
BB&T,219
SunTrust Banks,204
Ally Financial,163
American Express,159
MUFG Union Bank,151
Citizens Financial Group,149
USAA,147
Royal Bank of Canada,142
Fifth Third Bank,142
Santander Bank,139
KeyCorp,136
BMO Harris Bank,129
M&T Bank,126
Regions Financial Corporation,126
Northern Trust Corporation,123
Huntington Bancshares,100
Discover Financial,92
Synchrony Financial,90
BBVA Compass,87
First Republic Bank,73
Comerica,72
CIT Group,64
Zions Bancorp,63
Deutsche Bank,56
E-Trade,48
New York Community Bancorp,48
JPMorgan Chase,2490
Wells Fargo,1930
Citigroup,1792
