year_month,cleaned_company,complaints_count,mentions,sentiment
201704,Experian,36,29,-2.21025880177816
201703,Experian,2303,12,3.27142237623533
201702,Experian,2276,2,6.83951592445374
201701,Experian,2130,1,4.19091987609863
201612,Experian,2056,6,2.10768707593282
201611,Experian,2190,20,-3.14787908643484
201610,Experian,2478,6,-4.24351472655932
201609,Experian,2174,9,3.68377831247118
201608,Experian,2594,1,2.48226952552795
201607,Experian,2714,3,3.94241786003113
201606,Experian,2438,5,-6.95970678329468
201605,Experian,2484,18,0.219745056969779
201604,Experian,2452,2,2.93478035926819
201602,Experian,2066,1,-1.62748646736145
201601,Experian,1700,4,0.950004205107689
